"species","seq_type","n_sequences","n_sources"
"Takifugu alboplumbeus","COI",141,4
"Takifugu alboplumbeus","genome",1,1
"Takifugu bimaculatus","12S",2,2
"Takifugu bimaculatus","16S",2,1
"Takifugu bimaculatus","COI",11,2
"Takifugu bimaculatus","genome",1,1
"Takifugu coronoidus","12S",1,1
"Takifugu coronoidus","COI",2,1
"Takifugu flavidus","12S",2,1
"Takifugu flavidus","16S",2,1
"Takifugu flavidus","COI",18,3
"Takifugu flavidus","genome",2,1
"Takifugu obscurus","12S",2,1
"Takifugu obscurus","16S",2,1
"Takifugu obscurus","COI",31,4
"Takifugu obscurus","genome",2,1
"Takifugu ocellatus","12S",2,1
"Takifugu ocellatus","16S",1,1
"Takifugu ocellatus","COI",20,3
"Takifugu porphyreus","12S",3,2
"Takifugu porphyreus","16S",5,1
"Takifugu porphyreus","COI",48,3
"Takifugu porphyreus","genome",1,1
"Takifugu porphyreus","multiple",1,1
"Takifugu rubripes","12S",7,3
"Takifugu rubripes","16S",15,2
"Takifugu rubripes","COI",123,4
"Takifugu rubripes","genome",2,2
"Takifugu rubripes","multiple",1,1
"Takifugu vermicularis","12S",2,2
"Takifugu vermicularis","16S",3,1
"Takifugu vermicularis","COI",14,4
"Takifugu vermicularis","genome",1,1
"Takifugu xanthopterus","12S",3,2
"Takifugu xanthopterus","16S",3,1
"Takifugu xanthopterus","COI",50,4
"Tenualosa reevesii","12S",1,1
"Tenualosa reevesii","COI",2,1
"Terapon jarbua","12S",12,2
"Terapon jarbua","16S",6,1
"Terapon jarbua","COI",545,4
"Terapon jarbua","genome",2,1
"Terapon jarbua","multiple",3,1
"Tinca tinca","12S",6,2
"Tinca tinca","16S",6,1
"Tinca tinca","COI",149,3
"Tinca tinca","genome",4,1
"Tinca tinca","multiple",2,1
"Toxabramis swinhonis","12S",1,1
"Toxabramis swinhonis","16S",1,1
"Toxabramis swinhonis","COI",17,3
"Toxabramis swinhonis","genome",2,1
"Trachidermus fasciatus","12S",4,2
"Trachidermus fasciatus","COI",145,3
"Trachidermus fasciatus","genome",2,1
"Trachidermus fasciatus","multiple",1,1
"Trachinotus falcatus","12S",3,2
"Trachinotus falcatus","16S",2,2
"Trachinotus falcatus","COI",28,3
"Trachinotus falcatus","genome",1,1
"Tremeuchiloglanis anteanalis","12S",1,1
"Tremeuchiloglanis anteanalis","16S",1,1
"Tremeuchiloglanis anteanalis","COI",7,3
"Tremeuchiloglanis anteanalis","genome",1,1
"Tremeuchiloglanis myzostoma","COI",2,1
"Tremeuchiloglanis myzostoma","genome",1,1
"Tremeuchiloglanis sichuanensis","12S",1,1
"Tremeuchiloglanis sichuanensis","COI",1,1
"Tremeuchiloglanis sichuanensis","genome",1,1
"Tremeuchiloglanis sinensis","16S",1,1
"Tremeuchiloglanis sinensis","COI",2,1
"Tremeuchiloglanis sinensis","genome",2,1
"Triaenopogon barbatus","12S",9,1
"Triaenopogon barbatus","COI",50,1
"Triaenopogon barbatus","genome",2,1
"Triaenopogon barbatus","multiple",4,1
"Trichogaster fasciata","12S",4,2
"Trichogaster fasciata","16S",5,2
"Trichogaster fasciata","COI",53,4
"Trichogaster fasciata","genome",2,2
"Trichogaster fasciata","multiple",4,2
"Trichogaster labiosa","12S",1,1
"Trichogaster labiosa","COI",6,2
"Trichogaster labiosa","multiple",1,1
"Trichopodus leerii","12S",4,2
"Trichopodus leerii","16S",1,1
"Trichopodus leerii","COI",15,4
"Trichopodus leerii","genome",2,1
"Trichopodus leerii","multiple",1,1
"Trichopodus microlepis","12S",2,1
"Trichopodus microlepis","16S",1,1
"Trichopodus microlepis","COI",11,3
"Trichopodus microlepis","genome",1,1
"Trichopodus microlepis","multiple",1,1
"Tridentiger trigonocephalus","12S",9,3
"Tridentiger trigonocephalus","16S",2,1
"Tridentiger trigonocephalus","COI",30,4
"Tridentiger trigonocephalus","genome",2,2
"Tridentiger trigonocephalus","multiple",4,1
"Triplophysa angeli","12S",1,1
"Triplophysa angeli","COI",1,1
"Triplophysa angeli","genome",1,1
"Triplophysa anterodorsalis","12S",1,1
"Triplophysa anterodorsalis","COI",9,3
"Triplophysa anterodorsalis","genome",1,1
"Triplophysa bleekeri","12S",2,1
"Triplophysa bleekeri","COI",62,3
"Triplophysa bleekeri","genome",2,1
"Triplophysa brevibarba","COI",2,2
"Triplophysa brevicauda","12S",2,1
"Triplophysa brevicauda","COI",143,2
"Triplophysa brevicauda","genome",2,2
"Triplophysa daqiaoensis","COI",2,1
"Triplophysa grahami","12S",1,1
"Triplophysa grahami","COI",4,2
"Triplophysa grahami","genome",1,1
"Triplophysa leptosoma","16S",1,1
"Triplophysa leptosoma","COI",68,1
"Triplophysa lixianensis","12S",1,1
"Triplophysa lixianensis","COI",5,3
"Triplophysa lixianensis","genome",1,1
"Triplophysa markehenensis","12S",1,1
"Triplophysa markehenensis","COI",4,2
"Triplophysa markehenensis","genome",1,1
"Triplophysa microphthalma","12S",1,1
"Triplophysa microphthalma","COI",1,1
"Triplophysa microphthalma","genome",1,1
"Triplophysa microps","12S",1,1
"Triplophysa microps","COI",10,3
"Triplophysa microps","genome",1,1
"Triplophysa obscura","COI",34,2
"Triplophysa orientalis","12S",2,1
"Triplophysa orientalis","16S",1,1
"Triplophysa orientalis","COI",79,3
"Triplophysa orientalis","genome",2,1
"Triplophysa pappenheimi","12S",2,1
"Triplophysa pappenheimi","16S",9,1
"Triplophysa pappenheimi","COI",18,2
"Triplophysa pappenheimi","genome",2,1
"Triplophysa polyfasciata","COI",1,1
"Triplophysa pseudoscleroptera","16S",1,1
"Triplophysa pseudoscleroptera","COI",5,2
"Triplophysa pseudostenura","12S",1,1
"Triplophysa pseudostenura","COI",8,2
"Triplophysa pseudostenura","genome",1,1
"Triplophysa robusta","12S",2,1
"Triplophysa robusta","16S",47,1
"Triplophysa robusta","COI",239,3
"Triplophysa robusta","genome",2,1
"Triplophysa rosa","12S",2,1
"Triplophysa rosa","16S",1,1
"Triplophysa rosa","COI",7,3
"Triplophysa rosa","genome",2,2
"Triplophysa rotundiventris","COI",1,1
"Triplophysa scleroptera","12S",2,2
"Triplophysa scleroptera","16S",2,1
"Triplophysa scleroptera","COI",19,3
"Triplophysa scleroptera","genome",2,2
"Triplophysa stenura","12S",2,1
"Triplophysa stenura","16S",1,1
"Triplophysa stenura","COI",345,3
"Triplophysa stenura","genome",2,1
"Triplophysa stewarti","12S",2,1
"Triplophysa stewarti","COI",103,3
"Triplophysa stewarti","genome",2,1
"Triplophysa stolickai","12S",1,1
"Triplophysa stolickai","COI",94,3
"Triplophysa stolickai","genome",1,1
"Triplophysa venusta","12S",1,1
"Triplophysa venusta","COI",10,2
"Triplophysa venusta","genome",1,1
"Triplophysa xiangxiensis","12S",1,1
"Triplophysa xiangxiensis","COI",9,3
"Triplophysa xiangxiensis","genome",1,1
"Triplophysa xichangensis","12S",1,1
"Triplophysa xichangensis","COI",2,2
"Triplophysa xichangensis","genome",1,1
"Triplophysa yaopeizhii","COI",1,1
"Trypauchen vagina","12S",5,2
"Trypauchen vagina","16S",2,1
"Trypauchen vagina","COI",102,4
"Trypauchen vagina","genome",1,1
"Trypauchen vagina","multiple",2,1
"Vanmanenia pingchowensis","12S",2,1
"Vanmanenia pingchowensis","COI",12,3
"Vanmanenia pingchowensis","genome",2,1
"Vanmanenia stenosoma","12S",2,1
"Vanmanenia stenosoma","COI",6,3
"Vanmanenia stenosoma","genome",2,1
"Wuhanlinigobius polylepis","12S",2,1
"Wuhanlinigobius polylepis","COI",4,3
"Wuhanlinigobius polylepis","genome",2,1
"Xenocypris davidi","12S",1,1
"Xenocypris davidi","COI",51,3
"Xenocypris davidi","genome",2,1
"Xenocypris fangi","12S",1,1
"Xenocypris fangi","COI",5,1
"Xenocypris fangi","genome",1,1
"Xenocypris hupeinensis","12S",2,2
"Xenocypris hupeinensis","16S",2,2
"Xenocypris hupeinensis","COI",7,2
"Xenocypris macrolepis","12S",3,1
"Xenocypris macrolepis","16S",1,1
"Xenocypris macrolepis","COI",31,3
"Xenocypris macrolepis","genome",4,1
"Xenocypris yunnanensis","12S",1,1
"Xenocypris yunnanensis","COI",3,2
"Xenocypris yunnanensis","genome",1,1
"Xenophysogobio boulengeri","12S",3,1
"Xenophysogobio boulengeri","COI",141,3
"Xenophysogobio boulengeri","genome",4,1
"Xenophysogobio nudicorpa","12S",3,1
"Xenophysogobio nudicorpa","COI",68,3
"Xenophysogobio nudicorpa","genome",4,1
"Xiphophorus hellerii","12S",8,2
"Xiphophorus hellerii","16S",3,1
"Xiphophorus hellerii","COI",115,3
"Xiphophorus hellerii","genome",2,1
"Xiphophorus hellerii","multiple",2,1
"Xiphophorus variatus","12S",3,2
"Xiphophorus variatus","COI",21,2
"Xiphophorus variatus","genome",2,2
"Yunnanilus pleurotaenia","12S",3,1
"Yunnanilus pleurotaenia","COI",15,2
"Yunnanilus pleurotaenia","genome",3,1
"Yunnanilus sichuanensis","12S",1,1
"Yunnanilus sichuanensis","COI",2,2
"Yunnanilus sichuanensis","genome",1,1
"Zacco platypus","12S",22,2
"Zacco platypus","16S",7,1
"Zacco platypus","COI",476,3
"Zacco platypus","genome",3,1
"Zacco platypus","multiple",6,1
