species,marker,n_sequences,max_intra,min_inter,gap_exists,gap_width,p_overlap,q_overlap,median_intra,median_inter,intra_95,inter_5,percentile_gap,robust_gap,n_congeners_in_db,min_congeneric,congeneric_gap,congeneric_p_overlap,congeneric_q_overlap,n_diagnostic_sites,sampling_adequacy,taxonomic_resolution,gap_may_be_undersampling_artifact,error_msg,assignment_risk,recommended_threshold
Channa argus,COI,102,0.22069179784589893,0.0024855012427506215,FALSE,-0.2182062966031483,0.8063,0.9929,0.09942004971002485,0.11226180613090307,0.22017398508699254,0.01615575807787904,-0.2040182270091135,FALSE,2,0.005695940347970174,-0.21499585749792877,0.7224,0.9977,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Channa asiatica,COI,22,0.23260149130074564,0.01004556752278376,FALSE,-0.22255592377796188,0.7013,0.9973,0.1022162386081193,0.1060480530240265,0.18009527754763877,0.014913007456503728,-0.16518227009113504,FALSE,2,0.009734879867439934,-0.22286661143330572,0.71,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Channa maculata,COI,37,0.1885874067937034,0.006213753106876553,FALSE,-0.18237365368682684,0.7492,0.9777,0.0998860811930406,0.106980115990058,0.18100144987572495,0.017709196354598177,-0.16329225352112678,FALSE,2,0.005695940347970174,-0.18289146644573323,0.7492,0.9592,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Chanodichthys dabryi,COI,14,0.1748135874067937,6.213753106876554e-4,FALSE,-0.17419221209610605,0.8901,0.9582,0.03987158243579122,0.10294117647058823,0.13043703396851697,0.016259320629660314,-0.11417771333885665,FALSE,3,2.0712510356255177e-4,-0.17460646230323115,0.9121,0.9627,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Chanodichthys erythropterus,COI,66,0.2865575807787904,2.0712510356255177e-4,FALSE,-0.2863504556752278,0.9753,0.9993,0.10252692626346313,0.10480530240265121,0.17727837613918807,0.015327257663628831,-0.16195111847555924,FALSE,3,3.106876553438277e-4,-0.2862468931234466,0.965,0.9997,0,high,genus_or_higher,FALSE,NA,high,0.97
Chanodichthys mongolicus,COI,38,0.1765741507870754,5.178127589063795e-4,FALSE,-0.176056338028169,0.9189,0.956,0.046188898094449045,0.10159486329743164,0.120536454018227,0.014809444904722453,-0.10572700911350455,FALSE,3,2.0712510356255177e-4,-0.17636702568351284,0.9474,0.974,0,high,genus_or_higher,FALSE,NA,high,0.97
Chanodichthys oxycephalus,COI,7,0.10200911350455676,0.004142502071251036,FALSE,-0.09786661143330572,0.9048,0.4409,0.06410521955260978,0.10666942833471417,0.10190555095277548,0.014395194697597348,-0.08751035625517814,FALSE,3,0.0014498757249378626,-0.10055923777961889,0.9048,0.6247,0,low,genus_or_higher,FALSE,NA,high,0.97
Chimarrichthys kishinouyei,COI,65,0.17854183927091963,0.011806130903065452,FALSE,-0.16673570836785417,0.1014,0.9557,0.002899751449875725,0.10801574150787076,0.17760977630488814,0.03200082850041425,-0.1456089478044739,FALSE,0,NA,NA,NA,NA,5,low,genus_or_higher,FALSE,NA,high,0.97
Cirrhinus molitorella,COI,23,0.17678127589063794,0.00579950289975145,FALSE,-0.1709817729908865,0.8498,0.927,0.08015741507870754,0.10418392709196354,0.17520712510356257,0.016673570836785417,-0.15853355426677715,FALSE,1,0.006628003314001657,-0.1701532725766363,0.8379,0.9721,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Cirrhinus mrigala,COI,270,0.21074979287489642,0.002692626346313173,FALSE,-0.20805716652858325,0.9207,0.9992,0.0691797845898923,0.09548467274233637,0.11951118475559237,0.014913007456503728,-0.10459817729908864,FALSE,1,0.006628003314001657,-0.20412178956089477,0.7315,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Claea dabryi,COI,13,0.3743786246893123,0.0035211267605633804,FALSE,-0.37085749792874895,0.9744,0.9948,0.17724730737365368,0.13432062966031483,0.3585801574150787,0.03169014084507042,-0.32689001657000827,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Clarias batrachus,COI,291,0.1868268434134217,4.1425020712510354e-4,FALSE,-0.1864125932062966,0.9906,0.9927,0.07953603976801989,0.09838442419221209,0.1224109362054681,0.016984258492129246,-0.10542667771333886,FALSE,3,0.00010356255178127589,-0.18672328086164042,0.9985,0.999,0,high,genus_or_higher,FALSE,NA,high,0.97
Clarias fuscus,COI,10,0.17636702568351284,0.00528169014084507,FALSE,-0.17108533554266778,0.8889,0.924,0.07725766362883181,0.10335542667771334,0.1701946975973488,0.01636288318144159,-0.1538318144159072,FALSE,3,0.004453189726594863,-0.17191383595691798,0.8889,0.9856,0,moderate,genus_or_higher,FALSE,NA,high,0.97
