species,marker,n_sequences,max_intra,min_inter,gap_exists,gap_width,p_overlap,q_overlap,median_intra,median_inter,intra_95,inter_5,percentile_gap,robust_gap,n_congeners_in_db,min_congeneric,congeneric_gap,congeneric_p_overlap,congeneric_q_overlap,n_diagnostic_sites,sampling_adequacy,taxonomic_resolution,gap_may_be_undersampling_artifact,error_msg,assignment_risk,recommended_threshold
Macropodus opercularis,COI,27,0.23436205468102733,0.010977630488815244,FALSE,-0.22338442419221208,0.7749,0.9883,0.14136288318144158,0.12841756420878211,0.23384424192212097,0.030861640430820216,-0.20298260149130076,FALSE,1,0.012220381110190555,-0.22214167357083678,0.7749,0.9819,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Mastacembelus armatus,COI,204,0.19003728251864127,0.007974316487158243,FALSE,-0.18206296603148303,0.7606,0.9949,0.013566694283347142,0.09268848384424193,0.10242336371168186,0.015534382767191384,-0.08688898094449048,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Megalobrama amblycephala,COI,27,0.10314830157415078,0.0023819386909693457,FALSE,-0.10076636288318143,0.8661,0.4695,0.033864954432477216,0.10542667771333886,0.10164664457332229,0.014498757249378625,-0.08714788732394366,FALSE,3,2.0712510356255177e-4,-0.10294117647058823,0.963,0.5864,0,high,genus_or_higher,FALSE,NA,high,0.97
Megalobrama pellegrini,COI,14,0.28583264291632143,0.003003314001657001,FALSE,-0.28282932891466445,0.8681,0.9971,0.16818558409279205,0.11422949461474731,0.25548881524440764,0.023612261806130904,-0.23187655343827673,FALSE,3,0.00010356255178127589,-0.28572908036454014,1,0.9964,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Megalobrama skolkovii,COI,11,0.23954018227009113,0.00010356255178127589,FALSE,-0.23943661971830985,1,0.9815,0.13038525269262635,0.12437862468931235,0.23339892294946146,0.036350455675227836,-0.19704846727423364,FALSE,3,0.00010356255178127589,-0.23943661971830985,1,0.98,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Megalobrama terminalis,COI,100,0.18454846727423363,0.0031068765534382767,FALSE,-0.18144159072079535,0.7505,0.9813,0.03365782932891467,0.1022162386081193,0.12893537696768848,0.018330571665285834,-0.11060480530240265,FALSE,3,0.0017605633802816902,-0.18278790389395194,0.7618,0.9579,0,high,genus_or_higher,FALSE,NA,high,0.97
Metahomaloptera omeiensis,COI,8,0.17843827671913837,0.002796188898094449,FALSE,-0.17564208782104393,0.9643,0.9266,0.10775683512841758,0.10853355426677713,0.17812758906379453,0.01739850869925435,-0.16072908036454017,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Micropercops swinhonis,COI,14,0.2431648715824358,0.009113504556752278,FALSE,-0.23405136702568352,0.8681,0.9974,0.10749792874896437,0.10811930405965203,0.19361019055509526,0.016259320629660314,-0.17735086992543495,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Microphysogobio chenhsienensis,COI,74,0.17781690140845072,0.009631317315658658,FALSE,-0.16818558409279205,0.1163,0.9408,0.007974316487158243,0.10729080364540182,0.17636702568351284,0.0231980115990058,-0.15316901408450703,FALSE,4,0.007042253521126761,-0.17077464788732397,0.5661,0.9185,0,high,genus_or_higher,FALSE,NA,high,0.97
Microphysogobio fukiensis,COI,8,0.17854183927091963,0.009320629660314831,FALSE,-0.1692212096106048,0.8214,0.8809,0.1061516155758078,0.11215824357912178,0.1781483015741508,0.02009113504556752,-0.15805716652858326,FALSE,4,0.005074565037282519,-0.17346727423363711,0.8214,0.9493,0,low,genus_or_higher,FALSE,NA,high,0.97
Microphysogobio kiatingensis,COI,9,0.10542667771333886,0.00756006628003314,FALSE,-0.09786661143330572,0.6667,0.5549,0.022576636288318144,0.09952361226180613,0.10472763048881524,0.01739850869925435,-0.0873291217895609,FALSE,4,0.005074565037282519,-0.10035211267605634,0.6667,0.1567,0,low,genus_or_higher,FALSE,NA,high,0.97
Microphysogobio nudiventris,COI,11,0.23384424192212097,0.003935376967688484,FALSE,-0.2299088649544325,0.9455,0.9916,0.14529826014913008,0.1185791217895609,0.21787489643744817,0.026926263463131733,-0.19094863297431644,FALSE,4,0.007767191383595692,-0.22607705053852528,0.9455,0.9935,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Micropterus salmoides,COI,216,0.2611847555923778,0.007974316487158243,FALSE,-0.25321043910521956,0.8283,0.9999,0.09776304888152444,0.10387323943661972,0.18103251864125924,0.01615575807787904,-0.16487676056338021,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Miichthys miiuy,COI,33,0.1254142502071251,0.01004556752278376,FALSE,-0.11536868268434133,0.3693,0.9006,0.007249378624689312,0.09222245236122617,0.10124792874896438,0.015948632974316486,-0.0852992957746479,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Misgurnus anguillicaudatus,COI,954,0.41953189726594864,2.0712510356255177e-4,FALSE,-0.41932477216238606,0.9979,1,0.0841963545981773,0.10470173985086993,0.17367439933719966,0.02568351284175642,-0.14799088649544323,FALSE,2,0.00010356255178127589,-0.41942833471416735,0.9992,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Misgurnus dabryanus,COI,304,0.3118268434134217,3.106876553438277e-4,FALSE,-0.3115161557580779,0.9669,1,0.07736122618061309,0.1035625517812759,0.1495443247721624,0.016259320629660314,-0.13328500414250208,FALSE,2,0.00010356255178127589,-0.3117232808616404,0.9977,0.998,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Misgurnus mohoity,COI,45,0.17823115161557582,9.32062966031483e-4,FALSE,-0.17729908864954433,0.8677,0.9731,0.10159486329743164,0.1035625517812759,0.10791217895608948,0.015948632974316486,-0.091963545981773,FALSE,2,8.285004142502071e-4,-0.17740265120132562,0.8687,0.98740000000000006,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Monopterus albus,COI,383,0.182062966031483,0.010149130074565037,FALSE,-0.17191383595691798,0.6268,0.9904,0.018848384424192212,0.09310273405136703,0.10128417564208782,0.01708782104391052,-0.0841963545981773,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Moolgarda cunnesius,COI,107,0.17864540182270092,0.009942004971002486,FALSE,-0.16870339685169844,0.2952,0.9925,0.005488815244407622,0.08989229494614748,0.09983429991714995,0.015430820215410108,-0.08440347970173985,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Mugil cephalus,COI,720,0.20505385252692626,0.006420878210439105,FALSE,-0.19863297431648716,0.868,0.9987,0.08036454018227009,0.09848798674399337,0.149026512013256,0.01636288318144159,-0.13266362883181443,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Mugilogobius abei,COI,32,0.22058823529411764,0.006213753106876553,FALSE,-0.2143744821872411,0.8206,0.9968,0.10982808616404308,0.10863711681855841,0.17825704225352113,0.019055509527754765,-0.15920153272576637,FALSE,1,0.005592377796188898,-0.21499585749792874,0.8246,0.9922,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Mugilogobius myxodermus,COI,16,0.2207953603976802,0.006213753106876553,FALSE,-0.21458160729080364,0.8917,0.9931,0.10941383595691798,0.10967274233637117,0.21273301574150788,0.017605633802816902,-0.19512738193869097,FALSE,1,0.005592377796188898,-0.2152029826014913,0.8917,0.9961,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Muraenesox cinereus,COI,53,0.13991300745650373,0.00807787903893952,FALSE,-0.1318351284175642,0.6575,0.9435,0.011184755592377795,0.08937448218724109,0.107306338028169,0.016052195526097764,-0.09125414250207123,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Myersina filifer,COI,34,0.1309030654515327,0.0115990057995029,FALSE,-0.11930405965202981,0.1729,0.9417,0.003624689312344656,0.09015120132560067,0.09952361226180613,0.014913007456503728,-0.0846106048053024,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Mylopharyngodon piceus,COI,54,0.18030240265120132,0.004867439933719967,FALSE,-0.17543496271748135,0.8099,0.9427,0.08026097763048881,0.10666942833471417,0.17046396023198013,0.015534382767191384,-0.15492957746478875,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Myxocyprinus asiaticus,COI,74,0.2869718309859155,0.010459817729908866,FALSE,-0.2765120132560066,0.5109,0.9994,0.1043910521955261,0.12002899751449876,0.20039353769676885,0.03686826843413422,-0.16352526926263464,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Neosalanx anderssoni,COI,24,0.207953603976802,0.006317315658657829,FALSE,-0.20163628831814415,0.7971,0.9893,0.10485708367854184,0.106980115990058,0.1638877381938691,0.01843413421706711,-0.145453603976802,FALSE,4,0.004349627174813587,-0.2036039768019884,0.8804,0.9912,0,high,genus_or_higher,FALSE,NA,high,0.97
Neosalanx brevirostris,COI,7,0.10345898922949462,5.178127589063795e-4,FALSE,-0.10294117647058824,0.6667,0.4879,0.10086992543496272,0.10376967688483844,0.10325186412593207,0.01708782104391052,-0.08616404308202155,FALSE,4,0.00010356255178127589,-0.10335542667771334,0.9048,0.521,0,low,genus_or_higher,FALSE,NA,high,0.97
Neosalanx oligodontis,COI,31,0.17905965202982602,0.0076636288318144155,FALSE,-0.1713960231980116,0.6301,0.9787,0.07570422535211267,0.09807373653686827,0.1421913835956918,0.018537696768848384,-0.12365368682684343,FALSE,4,0.006317315658657829,-0.17274233637116818,0.6602,0.9854,0,high,genus_or_higher,FALSE,NA,high,0.97
Neosalanx taihuensis,COI,65,0.18579121789560896,3.106876553438277e-4,FALSE,-0.18548053024026512,0.774,0.9732,8.285004142502071e-4,0.10832642916321458,0.17181027340513672,0.03106876553438277,-0.14074150787075396,FALSE,4,2.0712510356255177e-4,-0.1855840927920464,0.8466,0.9972,0,high,genus_or_higher,FALSE,NA,high,0.97
Neosalanx tangkahkeii,COI,30,0.20816072908036454,5.178127589063795e-4,FALSE,-0.20764291632145815,0.908,0.988,0.103976801988401,0.10801574150787076,0.17905965202982602,0.019055509527754765,-0.16000414250207126,FALSE,4,0.00010356255178127589,-0.20805716652858325,0.9793,0.994,0,high,genus_or_higher,FALSE,NA,high,0.97
Nipponocypris temminckii,COI,64,0.23332642916321458,0.007249378624689312,FALSE,-0.22607705053852528,0.8204,0.9986,0.1436930405965203,0.11661143330571665,0.20629660314830156,0.028893951946975974,-0.1774026512013256,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Ochetobius elongatus,COI,24,0.17771333885666943,0.006524440762220381,FALSE,-0.17118889809444904,0.5399,0.9469,0.03505592377796189,0.09434548467274234,0.17729908864954433,0.019780447390223697,-0.15751864125932064,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Odontamblyopus lacepedii,COI,50,0.20205053852526927,3.106876553438277e-4,FALSE,-0.20173985086992544,0.9159,0.9949,0.10242336371168186,0.10925849212924607,0.11391880695940348,0.018848384424192212,-0.09507042253521128,FALSE,1,3.106876553438277e-4,-0.20173985086992544,0.9159,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Odontamblyopus rubicundus,COI,31,0.1365990057995029,0.006006628003314002,FALSE,-0.1305923777961889,0.8516,0.907,0.013152444076222038,0.09258492129246064,0.11029411764705882,0.01512013256006628,-0.09517398508699254,FALSE,1,3.106876553438277e-4,-0.13628831814415907,0.9742,0.9574,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Odontobutis potamophilus,COI,9,0.10107705053852527,0.012220381110190555,FALSE,-0.08885666942833471,0.7222,0.3419,0.0687655343827672,0.11319386909693455,0.10107705053852527,0.016259320629660314,-0.08481772990886495,FALSE,1,0.009424192212096106,-0.09165285832642917,0.7222,0.193,0,low,genus_or_higher,FALSE,NA,high,0.97
Odontobutis sinensis,COI,19,0.21292460646230324,0.01232394366197183,FALSE,-0.2006006628003314,0.7836,0.9909,0.11971830985915492,0.1215824357912179,0.20992129246064622,0.021851698425849213,-0.188069594034797,FALSE,1,0.009424192212096106,-0.20350041425020712,0.807,0.9532,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Oncorhynchus mykiss,COI,491,0.2612883181441591,0.006420878210439105,FALSE,-0.25486743993371996,0.8463,0.9999,0.08771748135874068,0.10211267605633803,0.16300745650372825,0.017502071251035624,-0.14550538525269263,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Onychostoma monticola,COI,5,0.1060480530240265,0.00403893951946976,FALSE,-0.10200911350455674,0.9,0.5769,0.01108119304059652,0.09998964374482186,0.10539560894780448,0.015016570008285005,-0.09037903893951947,FALSE,4,0.0025890637945318973,-0.1034589892294946,1,0.7189,0,low,genus_or_higher,FALSE,NA,high,0.97
Onychostoma ovale,COI,6,0.17719552609776304,0.006835128417564209,FALSE,-0.17036039768019884,0.8667,0.935,0.10615161557580778,0.10677299088649544,0.17705053852526925,0.01584507042253521,-0.16120546810273403,FALSE,4,0.00403893951946976,-0.17315658657829328,0.8667,0.9769,0,low,genus_or_higher,FALSE,NA,high,0.97
Onychostoma rarum,COI,9,0.2108533554266777,0.0046603148301574155,FALSE,-0.2061930405965203,0.9722,0.9864,0.11107083678541839,0.11412593206296603,0.20961060480530241,0.018330571665285834,-0.19128003314001657,FALSE,4,0.0025890637945318973,-0.20826429163214583,0.9722,0.9933,0,low,genus_or_higher,FALSE,NA,high,0.97
Onychostoma simum,COI,8,0.17719552609776304,0.006317315658657829,FALSE,-0.1708782104391052,0.8929,0.8942,0.10537489643744821,0.10749792874896437,0.17701946975973487,0.016777133388566696,-0.16024233637116816,FALSE,4,0.004246064623032311,-0.17294946147473073,0.8929,0.9706,0,low,genus_or_higher,FALSE,NA,high,0.97
Onychostoma yunnanense,COI,14,0.037489643744821874,0.006317315658657829,FALSE,-0.031172328086164044,0.6264,0.1283,0.02236951118475559,0.09486329743164872,0.033347141673570835,0.02475144987572494,-0.008595691797845896,FALSE,4,0.003935376967688484,-0.03355426677713339,0.6593,0.4031,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Opsariichthys bidens,COI,223,0.2594241922120961,3.106876553438277e-4,FALSE,-0.2591135045567523,0.983,0.9998,0.015430820215410108,0.14239850869925436,0.17071251035625495,0.06079121789560895,-0.109921292460646,FALSE,2,3.106876553438277e-4,-0.2591135045567523,0.983,0.9997,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Opsariichthys uncirostris,COI,191,0.28106876553438276,3.106876553438277e-4,FALSE,-0.28075807787903895,0.9709,0.9999,0.005074565037282519,0.1378417564208782,0.168910521955261,0.09475973487986744,-0.07415078707539355,FALSE,2,3.106876553438277e-4,-0.28075807787903895,0.9709,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Oreochromis aureus,COI,113,0.23777961888980945,0.00010356255178127589,FALSE,-0.23767605633802816,0.996,0.9987,0.07881110190555095,0.1026304888152444,0.17840202982601489,0.017294946147473074,-0.16110708367854182,FALSE,2,0.00010356255178127589,-0.23767605633802816,0.996,0.9998,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Oreochromis mossambicus,COI,206,0.23891880695940348,2.0712510356255177e-4,FALSE,-0.23871168185584093,0.9959,0.999,0.010459817729908866,0.09299917149958575,0.11164043082021541,0.014913007456503728,-0.09672742336371168,FALSE,2,0,-0.23891880695940348,0.9992,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Oreochromis niloticus,COI,965,0.2375724937862469,2.0712510356255177e-4,FALSE,-0.23736536868268435,0.998,0.9984,0.05747721623860812,0.09931648715824358,0.13732394366197184,0.016466445733222868,-0.12085749792874897,FALSE,2,0,-0.2375724937862469,1,0.9997,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Microphysogobio zhangi,COI,7,0.17688483844241923,0.009734879867439934,FALSE,-0.1671499585749793,0.6667,0.9306,0.10014498757249378,0.10584092792046396,0.17688483844241923,0.015016570008285005,-0.1618682684341342,FALSE,4,0.00528169014084507,-0.17160314830157417,0.6667,0.8768,0,low,genus_or_higher,FALSE,NA,high,0.97
Oryzias latipes,COI,638,0.2613918806959403,0.0022783761391880694,FALSE,-0.25911350455675225,0.9353,1,0.14094863297431648,0.11019055509527755,0.17460646230323115,0.03231151615575808,-0.14229494614747307,FALSE,1,3.106876553438277e-4,-0.2610811930405965,0.9915,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Oryzias sinensis,COI,51,0.194076222038111,9.32062966031483e-4,FALSE,-0.19314415907207952,0.9035,0.9932,0.10014498757249378,0.1026304888152444,0.1704950289975145,0.018848384424192212,-0.1516466445733223,FALSE,1,3.106876553438277e-4,-0.19376553438276717,0.9412,0.9868,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Oxuderces dentatus,COI,14,0.260149130074565,0.007456503728251864,FALSE,-0.2526926263463132,0.978,0.9987,0.14022369511184757,0.11671499585749792,0.23234258492129245,0.023612261806130904,-0.20873032311516154,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Oxyeleotris marmorata,COI,133,0.2594241922120961,0.008492129246064623,FALSE,-0.2509320629660315,0.7526,0.9993,0.10936205468102735,0.11775062137531069,0.18931234465617233,0.02216238608119304,-0.1671499585749793,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Pampus argenteus,COI,499,0.2113711681855841,0.006938690969345485,FALSE,-0.2044324772162386,0.8664,0.9992,0.10418392709196354,0.10594449047224523,0.15534382767191385,0.019573322286661143,-0.1357705053852527,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Parabotia banarescui,COI,9,0.17678127589063794,0.0025890637945318973,FALSE,-0.17419221209610605,0.9167,0.8979,0.10475352112676056,0.10822286661143331,0.17654826014913008,0.017605633802816902,-0.15894262634631318,FALSE,2,0.0025890637945318973,-0.17419221209610605,0.9167,0.9857,0,low,genus_or_higher,FALSE,NA,high,0.97
Parabotia bimaculatus,COI,11,0.17781690140845072,0.0035211267605633804,FALSE,-0.17429577464788734,0.7818,0.9658,0.056027340513670254,0.0962096106048053,0.1292046396023198,0.014498757249378625,-0.11470588235294116,FALSE,2,0.0035211267605633804,-0.17429577464788734,0.7818,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Parabotia fasciatus,COI,20,0.17595277547638774,0.005903065451532726,FALSE,-0.17004971002485503,0.7632,0.9063,0.10283761391880696,0.10687655343827672,0.17544531897265947,0.01688069594034797,-0.1585646230323115,FALSE,2,0.0025890637945318973,-0.17336371168185585,0.9211,0.9525,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Parabramis pekinensis,COI,40,0.286039768019884,0.0031068765534382767,FALSE,-0.28293289146644574,0.8923,0.999,0.0790182270091135,0.10470173985086993,0.2007042253521127,0.01512013256006628,-0.1855840927920464,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Paracanthobrama guichenoti,COI,8,0.20961060480530241,0.009009942004971003,FALSE,-0.2006006628003314,0.75,0.9764,0.17709196354598178,0.11878624689312345,0.20943454846727422,0.030550952775476387,-0.17888359569179782,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Parachromis managuensis,COI,23,0.12251449875724937,0.004453189726594863,FALSE,-0.11806130903065451,0.664,0.8853,0.007456503728251864,0.0936205468102734,0.10553024026512013,0.016052195526097764,-0.08947804473902236,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Paraqianlabeo lineatus,COI,12,0.1060480530240265,0.00807787903893952,FALSE,-0.09797017398508699,0.7273,0.5479,0.033502485501242754,0.10149130074565037,0.1060480530240265,0.014291632145816073,-0.09175642087821043,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Parastromateus niger,COI,148,0.16683927091963546,0.009217067108533554,FALSE,-0.1576222038111019,0.239,0.9911,0.004142502071251036,0.09268848384424193,0.07231772990886488,0.014705882352941176,-0.057611847555923704,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Paratanakia himantegus,COI,5,0.10666942833471417,0.008906379453189726,FALSE,-0.09776304888152444,0.7,0.5845,0.01134009942004971,0.0962096106048053,0.10638980944490473,0.015223695111847556,-0.09116611433305717,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Perca fluviatilis,COI,205,0.25590306545153274,0.007767191383595692,FALSE,-0.24813587406793705,0.7332,0.9996,0.09652029826014913,0.10190555095277548,0.1490938276719136,0.015430820215410108,-0.13366300745650347,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Percocypris pingi,COI,44,0.17833471416735708,0.013152444076222038,FALSE,-0.16518227009113504,0.5412,0.9828,0.015275476387738194,0.10884424192212096,0.16528583264291632,0.04204639602319801,-0.12323943661971831,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Periophthalmus magnuspinnatus,COI,342,0.23632974316487157,0.006420878210439105,FALSE,-0.22990886495443247,0.1185,0.9854,8.285004142502071e-4,0.14250207125103562,0.14333057166528584,0.10801574150787076,-0.035314830157415086,FALSE,1,0.002692626346313173,-0.2336371168185584,0.1185,1,434,moderate,genus_or_higher,FALSE,NA,high,0.97
Periophthalmus modestus,COI,237,0.2247307373653687,0.002796188898094449,FALSE,-0.22193454846727426,0.8234,0.9992,0.0871996685998343,0.10242336371168186,0.14695526097763048,0.025269262634631317,-0.12168599834299916,FALSE,1,0.002692626346313173,-0.22203811101905552,0.8263,0.9841,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Phractocephalus hemioliopterus,COI,19,0.17937033968516986,0.010356255178127589,FALSE,-0.16901408450704228,0.6374,0.9727,0.017502071251035624,0.10019676884838442,0.11987365368682684,0.015741507870753936,-0.10413214581607291,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Piaractus brachypomus,COI,164,0.17854183927091963,0.00756006628003314,FALSE,-0.1709817729908865,0.5168,0.9742,0.009009942004971003,0.11226180613090307,0.11381524440762221,0.01915907207953604,-0.09465617232808617,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Plagiognathops microlepis,COI,23,0.28541839270919633,0.0022783761391880694,FALSE,-0.28314001657000826,0.8063,0.9975,0.106980115990058,0.10729080364540182,0.21350455675227825,0.014498757249378625,-0.19900579950289962,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Planiliza carinata,COI,12,0.024544324772162385,0.008699254349627174,FALSE,-0.01584507042253521,0.6212,0.309,0.01030447390223695,0.08792460646230323,0.019858119304059653,0.015223695111847556,-0.004634424192212097,FALSE,1,0.007456503728251864,-0.01708782104391052,0.6818,0.5388,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Planiliza haematocheilus,COI,144,0.20225766362883182,0.004867439933719967,FALSE,-0.19739022369511186,0.8345,0.999,0.07912178956089479,0.09869511184755593,0.10480530240265121,0.016570008285004142,-0.08823529411764706,FALSE,1,0.007456503728251864,-0.19480115990057997,0.7578,1,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Platycephalus indicus,COI,149,0.1371168185584093,0.006731565865782933,FALSE,-0.13038525269262635,0.8185,0.9473,0.013152444076222038,0.08968516984258493,0.0438069594034797,0.015948632974316486,-0.027858326429163215,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Platysmacheilus exiguus,COI,6,0.17864540182270092,0.005385252692626346,FALSE,-0.17326014913007456,0.7333,0.8802,0.17750621375310688,0.11381524440762221,0.17842792046396022,0.02568351284175642,-0.15274440762220381,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Plecoglossus altivelis,COI,58,0.20929991714995858,0.010149130074565037,FALSE,-0.19915078707539355,0.7623,0.9952,0.09444904722452362,0.09983429991714995,0.16673570836785417,0.016777133388566696,-0.14995857497928747,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Poecilia reticulata,COI,421,0.2881110190555095,0.009734879867439934,FALSE,-0.2783761391880696,0.8514,1,0.09973073736536868,0.10770505385252693,0.14850869925434962,0.01915907207953604,-0.12934962717481358,FALSE,1,0.009320629660314831,-0.2787903893951947,0.8565,0.9995,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Poecilia velifera,COI,15,0.19594034797017398,0.009424192212096106,FALSE,-0.18651615575807787,0.7429,0.9808,0.01739850869925435,0.09714167357083679,0.17046396023198013,0.016466445733222868,-0.15399751449875726,FALSE,1,0.009320629660314831,-0.18661971830985916,0.7429,0.9937,0,moderate,genus_or_higher,FALSE,NA,high,0.97
Polyodon spathula,COI,31,0.1821665285832643,0.0032104391052195525,FALSE,-0.17895608947804473,0.8495,0.9676,0.08833885666942834,0.09973073736536868,0.18202154101077048,0.018641259320629662,-0.16338028169014082,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Prochilodus lineatus,COI,249,0.2551781275890638,0.007352941176470588,FALSE,-0.24782518641259318,0.8291,0.9995,0.10749792874896437,0.10760149130074564,0.18413421706710853,0.018227009113504555,-0.16590720795360397,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Procypris rabaudi,COI,91,0.25631731565865784,0.008181441590720795,FALSE,-0.24813587406793705,0.3705,0.9986,0.006731565865782933,0.11236536868268435,0.18330571665285833,0.06016466445733231,-0.12314105219552601,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Protosalanx chinensis,COI,45,0.20826429163214583,0.006731565865782933,FALSE,-0.20153272576636289,0.8242,0.9914,0.09916114333057166,0.10470173985086993,0.17843827671913837,0.01739850869925435,-0.161039768019884,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Psephurus gladius,COI,6,0.20981772990886496,0.0016570008285004142,FALSE,-0.20816072908036454,1,0.9918,0.1311101905550953,0.112986743993372,0.192129246064623,0.04617854183927092,-0.14595070422535208,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Pseudobrama simoni,COI,15,0.17709196354598178,0.00528169014084507,FALSE,-0.17181027340513672,0.8667,0.9179,0.0987986743993372,0.10760149130074564,0.17678127589063794,0.01563794531897266,-0.16114333057166527,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Pseudogobio vaillanti,COI,32,0.17792046396023198,0.008906379453189726,FALSE,-0.16901408450704225,0.6734,0.9378,0.01056338028169014,0.10770505385252693,0.17729908864954433,0.02216238608119304,-0.1551367025683513,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Pseudogyrinocheilus prochilus,COI,35,0.2869718309859155,0.006524440762220381,FALSE,-0.28044739022369514,0.6454,0.9992,0.09175642087821044,0.10729080364540182,0.2036350455675228,0.018227009113504555,-0.18540803645401824,FALSE,0,NA,NA,NA,NA,0,low,genus_or_higher,FALSE,NA,high,0.97
Pseudohemiculter dispar,COI,62,0.10987986743993372,0.0034175642087821046,FALSE,-0.10646230323115162,0.6663,0.8261,0.00528169014084507,0.08699254349627175,0.10490886495443248,0.014291632145816073,-0.09061723280861642,FALSE,1,0.0025890637945318973,-0.10729080364540182,0.6832,0.9739,0,moderate,genus_or_higher,FALSE,NA,high,0.97
